1,Tom and Jerry,Fred Quimby,2,2,C:/WorkSpace/VideoPlayer/images/tom and jerry.jpg
2,Breakfast at Tiffany's,Mr Bean,2,0,C:/WorkSpace/VideoPlayer/images/breakfast.jpg
3,Casablanca,Michael Curtiz,2,1,C:/WorkSpace/VideoPlayer/images/Casablanca.jpg
4,The Sound of Music,Robert Wise,2,0,C:/WorkSpace/VideoPlayer/images/Sound of music.jpg
5,Gone with the Wind,Victor Fleming,2,0,Empty
6,testing delete1,test,1,0,Empty
7,testing delete2,test,1,1,Empty
9,testing delete4,test,1,0,Empty
10,testing delete5,test,1,0,Empty
11,testing delete6,test,1,1,Empty
12,testing delete7,test,1,0,Empty
13,testing delete8,test,1,0,Empty
14,Tom and Jerryd,Fred Quimby,2,2,C:/WorkSpace/VideoPlayer/images/tom and jerry.jpg
